Fiscal_Year,Service,Fund_Type,Fund,Item_Category,Description,Approved_Amount
2018,M-NCPPC,NON-TAX SUPPORTED,Grant Fund MNCPPC,Intergovernmental,Park Fund Grants,400000
2018,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Special Exception Fee,212405
2018,Montgomery College,NON-TAX SUPPORTED,Workforce Development & Continuing Ed,Intergovernmental,State Aid,6717202
2018,Montgomery County Government,TAX SUPPORTED,Mass Transit,Fines & Forfeitures,Parking Fines,405000
2018,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Intergovernmental,GCEI - Geographic Cost of Education Index,36854599
2018,Montgomery College,NON-TAX SUPPORTED,Cable Television Fund,Miscellaneous,Cable: Other Revenue,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Hills Parking,Licenses & Permits,Electrical Permits and Licenses,0
2018,Montgomery County Government,TAX SUPPORTED,Mass Transit,Charges for Services,Motor Pool Charges/Fees,0
2018,Montgomery County Government,TAX SUPPORTED,Bethesda Urban District,Taxes,Property Tax,632520
2018,M-NCPPC,NON-TAX SUPPORTED,Enterprise Fund,Intergovernmental,Intergovernmental,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Subdivision Plan Review,300000
2018,Montgomery County Government,TAX SUPPORTED,Mass Transit,Licenses & Permits,Taxi Licensing Fees,531000
2018,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Mechanical Construction Permit,1654421
2018,M-NCPPC,TAX SUPPORTED,ALA Debt Service Fund,Miscellaneous,Other Financing Source,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Charges for Services,Automation Enhancement Fee,120000
2018,Montgomery County Government,NON-TAX SUPPORTED,Liquor,Licenses & Permits,Other Licenses/Permits,156000
2018,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Charges for Services,Parking Fees,15555081
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Street Tree Planting,75000
2018,Montgomery County Government,NON-TAX SUPPORTED,Liquor,Charges for Services,Other Charges/Fees,8740
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,State Grants,650000
2018,Montgomery County Public Schools,NON-TAX SUPPORTED,Grant Fund MCPS,Intergovernmental,State Grants,830135
2018,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Charges for Services,Tuition-Other Sources,3326736
2018,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Grading/Storm Drains/Paving/Driveway Permits,3663418
2018,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Sign Permits,184808
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Mail Revenues,0
2018,Montgomery County Public Schools,NON-TAX SUPPORTED,Field Trip Fund,Charges for Services,Field Trip Fees,2313743
2018,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Licenses & Permits,Other Licenses/Permits,13145
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Fines & Forfeitures,Library Fines,1000000
2018,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Miscellaneous,Commitment Fee,200000
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Fines & Forfeitures,Parking Fines,0
2018,Montgomery County Government,TAX SUPPORTED,Recreation,Miscellaneous,Miscellaneous Revenues,84365
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Electrical Permits,0
2018,Montgomery College,NON-TAX SUPPORTED,Workforce Development & Continuing Ed,Miscellaneous,Other Revenues: Interest,10000
2018,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Investment Income,Investment Income,66330
2018,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Charges for Services,Other Charges and Fees,0
2018,Montgomery College,NON-TAX SUPPORTED,Transportation Fund,Charges for Services,Student Fees,3496300
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Facility Rental Fees,11000
2018,Montgomery County Government,NON-TAX SUPPORTED,Liquor,Taxes,Bag Tax,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Recreation Fees,0
2018,Montgomery County Government,TAX SUPPORTED,Fire,Investment Income,Investment Income,242130
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Library Fees,20000
2018,Montgomery County Government,NON-TAX SUPPORTED,Community Use of Public Facilities,Investment Income,Investment Income,72364
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,Miscellaneous Revenues,1350130
2018,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Collection,Miscellaneous,Miscellaneous Revenues,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Investment Income,Investment Income,304130
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Fines & Forfeitures,Parking Fines,1000000
2018,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Hills Parking,Taxes,Property Tax,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Silver Spring Parking,Licenses & Permits,Residential Parking Permits,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Miscellaneous,Loan Payments,1000000
2018,M-NCPPC,NON-TAX SUPPORTED,Enterprise Fund,Charges for Services,Concessions,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Cable TV,Charges for Services,PEG Operating Revenue,4157696
2018,Montgomery County Government,NON-TAX SUPPORTED,Silver Spring Parking,Taxes,Property Tax,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Print Revenues,0
2018,Montgomery County Government,TAX SUPPORTED,Fire,Intergovernmental,Other Intergovernmental,0
2018,Montgomery County Government,TAX SUPPORTED,Recreation,Charges for Services,Recreation Fee Subsidy,-1000000
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,State Interpreter Fee Reimbursement,434799
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,Property Tax,1279589952
2018,Montgomery County Government,TAX SUPPORTED,Recreation,Intergovernmental,State Grants,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Hazardous Materials Permits,800000
2018,Montgomery County Government,NON-TAX SUPPORTED,Wheaton Parking,Licenses & Permits,Electrical Permits and Licenses,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Miscellaneous,Other Financing Sources,59020
2018,Montgomery County Government,TAX SUPPORTED,Fire,Charges for Services,Motor Pool Charges/Fees,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,Real Property Transfer Tax,114280000
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,Admissions Tax,3289800
2018,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Intergovernmental,Federal Grants,27571581
2018,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Intergovernmental,Basic State Aid,338744661
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Pet Licenses,759200
2018,Montgomery County Government,NON-TAX SUPPORTED,Silver Spring Parking,Licenses & Permits,Fire Code Enforcement Permits,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Core Health Services Funding,4554327
2018,Montgomery County Government,TAX SUPPORTED,Fire,Licenses & Permits,Other Licenses and Permits,0
2018,Montgomery County Public Schools,NON-TAX SUPPORTED,Food Service Fund,Miscellaneous,Miscellaneous: Investment Income,0
2018,Montgomery County Government,TAX SUPPORTED,Silver Spring Urban District,Investment Income,Investment Income,0
2018,Montgomery County Public Schools,NON-TAX SUPPORTED,Real Estate Fund,Miscellaneous,Real Estate Fund,3932647
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Self Insurance Employee Health Income,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Health Inspection: Restraurants,0
2018,Montgomery County Public Schools,NON-TAX SUPPORTED,Food Service Fund,Intergovernmental,Child Care Food Service,0
2018,M-NCPPC,NON-TAX SUPPORTED,Enterprise Fund,Charges for Services,Fees and Charges,6643275
2018,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Charges for Services,Other Charges/Fees,241800
2018,Debt Service,TAX SUPPORTED,Debt Service,Miscellaneous,Miscellaneous Revenues,1033870
2018,Montgomery County Government,TAX SUPPORTED,Wheaton Urban District,Miscellaneous,Miscellaneous Revenues,0
2018,Montgomery County Government,TAX SUPPORTED,Mass Transit,Charges for Services,Other Charges/Fees,1162194
2018,Montgomery County Government,NON-TAX SUPPORTED,Silver Spring Parking,Investment Income,Investment Income,222240
2018,Montgomery County Government,TAX SUPPORTED,Fire,Miscellaneous,Miscellaneous Revenues,240500
2018,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Miscellaneous,Property Rentals,160000
2018,Montgomery County Government,NON-TAX SUPPORTED,Cable TV,Charges for Services,Other Charges/Fees,0
2018,Montgomery County Government,TAX SUPPORTED,Economic Development Fund,Miscellaneous,Miscellaneous Revenues,0
2018,Montgomery County Government,TAX SUPPORTED,Mass Transit,Intergovernmental,State Aid: Ride On,38764000
2018,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Intergovernmental,Other Intergovernmental,309200
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,Property Rentals,3850000
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Clerk of the Court Business Licenses,215000
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Board of Appeals Fees,173163
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Other Intergovernmental,70000
2018,M-NCPPC,TAX SUPPORTED,Park Fund,Charges for Services,Facility User Fees,2800643
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Residential Parking Permits,24000
2018,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Miscellaneous,Loan Payments,2175000
2018,Montgomery College,NON-TAX SUPPORTED,Transportation Fund,Miscellaneous,Miscellaneous Other,195000
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,Vehicle/Bike Auction Proceeds,840000
2018,Montgomery County Government,TAX SUPPORTED,Mass Transit,Fines & Forfeitures,Other Fines/Forfeitures,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Charges for Services,Other Charges/Fees,0
2018,Montgomery County Government,TAX SUPPORTED,Recreation,Licenses & Permits,Other Licenses and Permits,0
2018,Montgomery County Government,TAX SUPPORTED,Revenue Stabilization,Investment Income,Investment Income,2045550
2018,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Hills Parking,Miscellaneous,Miscellaneous Revenues,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Health and Human Services Fees,1059600
2018,Montgomery County Government,TAX SUPPORTED,Fire,Charges for Services,Parking Fees,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Silver Spring Parking,Fines & Forfeitures,Parking Fines,1897689
2018,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Taxes,MHI Transfer Tax,225000
2018,Montgomery County Government,TAX SUPPORTED,Silver Spring Urban District,Miscellaneous,Miscellaneous Revenues,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Other Charges and Fees,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Other Charges and Fees,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Silver Spring Parking,Charges for Services,Facility Rental Fees,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Charges for Services,Asset Management Fee,70200
2018,Montgomery County Government,TAX SUPPORTED,Fire,Miscellaneous,Insurance Proceeds,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Illegal Alien Inmate Reimbursement,600000
2018,Montgomery County Government,TAX SUPPORTED,Bethesda Urban District,Charges for Services,Optional Method Development,189877
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Marriage Licenses,300000
2018,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Collection,Investment Income,Investment Income,32640
2018,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Fines & Forfeitures,Other Fines/Forfeitures,48345
2018,Debt Service,TAX SUPPORTED,Debt Service,Investment Income,Investment Income,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,New Home Builder's License,134500
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Electrical Licenses and Permits,0
2018,M-NCPPC,TAX SUPPORTED,Administration Fund,Investment Income,Investment Income,70000
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Landlord-Tennant Fees,6404595
2018,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Intergovernmental,Students With Disabilities,56526981
2018,Montgomery County Government,TAX SUPPORTED,Silver Spring Urban District,Taxes,Property Tax,897511
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Sale of Recycled Materials,0
2018,Montgomery County Government,TAX SUPPORTED,Fire,Licenses & Permits,Building Permits,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Home Confinement Fees,30000
2018,Montgomery County Government,TAX SUPPORTED,Mass Transit,Taxes,Property Tax,112620948
2018,Montgomery County Government,NON-TAX SUPPORTED,Wheaton Parking,Taxes,Property Tax,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Intergovernmental,Medicaid/Medicare Reimbursement,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Hills Parking,Fines & Forfeitures,Parking Fines,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Care of Federal/State Prisoners,1160000
2018,Montgomery County Government,TAX SUPPORTED,Mass Transit,Intergovernmental,State Aid: Damascus Fixed Route,309950
2018,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Charges for Services,Systems Benefit Charge,55181673
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Fines & Forfeitures,Other Fines/Forfeitures,2347150
2018,Montgomery County Government,NON-TAX SUPPORTED,Cable TV,Investment Income,Investment Income,75330
2018,Montgomery County Government,NON-TAX SUPPORTED,Silver Spring Parking,Licenses & Permits,Electrical Permits and Licenses,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Motor Pool Charges/Fees,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Miscellaneous,Miscellaneous Revenues,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Liquor,Investment Income,Investment Income,28710
2018,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Investment Income,Investment Income,1851460
2018,Montgomery County Government,NON-TAX SUPPORTED,Silver Spring Parking,Miscellaneous,Miscellaneous Revenues,0
2018,Montgomery College,NON-TAX SUPPORTED,Workforce Development & Continuing Ed,Miscellaneous,Other Revenues; Miscellaneous,150000
2018,Montgomery County Government,TAX SUPPORTED,Fire,Taxes,Property Tax,211455538
2018,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Hills Parking,Investment Income,Investment Income,0
2018,Montgomery College,NON-TAX SUPPORTED,Major Facilities Reserve Fund,Investment Income,Interest Income,14000
2018,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Fire Code Enforcement Permits,2501787
2018,Montgomery County Government,TAX SUPPORTED,Cabin John Noise Abatement,Investment Income,Investment Income,0
2018,Montgomery County Government,TAX SUPPORTED,Wheaton Urban District,Investment Income,Investment Income,550
2018,M-NCPPC,TAX SUPPORTED,Administration Fund,Charges for Services,User Fees,163400
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Trader's License,780000
2018,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Intergovernmental,Thornton Legislation,204758509
2018,M-NCPPC,NON-TAX SUPPORTED,Special Revenue Funds,Miscellaneous,Miscellaneous,200800
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,State Reimbursement: Library Staff Retirement,3132000
2018,Montgomery County Government,TAX SUPPORTED,Fire,Charges for Services,Other Charges/Fees,0
2018,Montgomery College,TAX SUPPORTED,Current Fund MC,Intergovernmental,Fed. State & Priv. Gifts & Grants,325000
2018,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Electrical Permits and Licenses,6199212
2018,Montgomery County Government,TAX SUPPORTED,Fire,Charges for Services,EMS Reimbursement-Ambulance Fee,19199561
2018,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Fines & Forfeitures,Parking Fines,3250000
2018,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Taxes,Property Tax,0
2018,Montgomery County Government,TAX SUPPORTED,Cabin John Noise Abatement,Taxes,Property Tax,0
2018,Montgomery County Government,TAX SUPPORTED,Fire,Charges for Services,Automation Enhancement Fee,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Zoning Fees,65000
2018,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Charges for Services,Other Charges and Fees,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Traffic Signals Maintenance,994000
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Other Charges/Fees,3434882
2018,Montgomery County Government,NON-TAX SUPPORTED,Community Use of Public Facilities,Charges for Services,Facility Rental Fees,11003765
2018,M-NCPPC,NON-TAX SUPPORTED,Prop Mgmt MNCPPC,Miscellaneous,Miscellaneous,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Federal Grants,0
2018,Montgomery County Government,TAX SUPPORTED,Recreation,Charges for Services,Recreation Fees,10785942
2018,M-NCPPC,NON-TAX SUPPORTED,Grant Fund MNCPPC,Intergovernmental,Administration Fund Grants,150000
2018,Montgomery County Government,TAX SUPPORTED,Mass Transit,Intergovernmental,State Aid: Call N' Ride,379110
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Clerk of the Court Business Licenses,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Restricted Donations,Investment Income,Investment Income,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Leaf Vacuuming,Charges for Services,Other Charges/Fees,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,State Jury Fee Reimbursement,404245
2018,Montgomery College,NON-TAX SUPPORTED,Auxiliary Fund,Miscellaneous,Other Revenues: Performing Arts Center,0
2018,Montgomery County Government,TAX SUPPORTED,Fire,Licenses & Permits,Occupancy Permits,0
2018,Montgomery College,TAX SUPPORTED,Current Fund MC,Intergovernmental,State Aid,35794377
2018,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Collection,Licenses & Permits,Licensing Fee,0
2018,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Intergovernmental,Foster Care/Miscellaneous,140000
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Nursing Home Reimbursement,704020
2018,Montgomery County Government,NON-TAX SUPPORTED,Wheaton Parking,Investment Income,Investment Income,14660
2018,Montgomery County Government,TAX SUPPORTED,Bethesda Urban District,Miscellaneous,Miscellaneous Revenues,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Miscellaneous,Property Rentals,35526
2018,M-NCPPC,TAX SUPPORTED,Park Fund,Taxes,Property Tax,93229054
2018,M-NCPPC,NON-TAX SUPPORTED,Special Revenue Funds,Investment Income,Investment Income,16500
2018,Montgomery County Government,TAX SUPPORTED,Fire,Licenses & Permits,Health Inspection: Restaurants,0
2018,Montgomery County Government,TAX SUPPORTED,Fire,Licenses & Permits,Fire Code Enforcement Permits,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Miscellaneous,Land Sale Proceeds,0
2018,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Miscellaneous,MPDU Revenues,1250000
2018,Montgomery County Government,NON-TAX SUPPORTED,Liquor,Miscellaneous,Liquor Sales,86212495
2018,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Investment Income,Investment Income,153700
2018,Montgomery County Government,TAX SUPPORTED,Economic Development Fund,Investment Income,Investment Income,38917
2018,Montgomery County Government,TAX SUPPORTED,Recreation,Taxes,Property Tax,40622929
2018,M-NCPPC,TAX SUPPORTED,Administration Fund,Intergovernmental,Intergovernmental,420300
2018,M-NCPPC,TAX SUPPORTED,Park Fund,Investment Income,Investment Income: CIP,15000
2018,Montgomery College,NON-TAX SUPPORTED,Auxiliary Fund,Miscellaneous,Auxiliary Fund: Interest Income,6000
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,State Aid: Police Protection,14743832
2018,Montgomery County Government,TAX SUPPORTED,Fire,Intergovernmental,State Fire/Rescue 508 Funds,0
2018,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,Hotel/Motel Tax,21938020
2019,Montgomery College,TAX SUPPORTED,Current Fund MC,Miscellaneous,Current Fund: Performing Arts Center,135000
2019,Montgomery County Government,NON-TAX SUPPORTED,Water Quality Protection,Investment Income,Investment Income,333980
2019,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Investment Income,Investment Income,699040
2019,M-NCPPC,TAX SUPPORTED,ALA Debt Service Fund,Taxes,Property Tax,2024928
2019,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Miscellaneous,Property Rentals,35526
2019,Montgomery County Government,NON-TAX SUPPORTED,Cable TV,Charges for Services,Franchise Fees,17867623
2019,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Collection,Charges for Services,Systems Benefit Charge,7102557
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Nursing Home Reimbursement,697130
2019,Montgomery County Government,NON-TAX SUPPORTED,Leaf Vacuuming,Charges for Services,Leaf Vaccuum Collection Fees,7595788
2019,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Intergovernmental,State Grants,26875069
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Federal Financial Participation Reimbursements,14583640
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Marriage Licenses,300000
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Pet Licenses,650000
2019,Montgomery College,NON-TAX SUPPORTED,Transportation Fund,Miscellaneous,Miscellaneous Other,239213
2019,M-NCPPC,TAX SUPPORTED,Park Fund,Taxes,Property Tax,92898722
2019,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Intergovernmental,GCEI - Geographic Cost of Education Index,37711769
2019,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Charges for Services,Tuition-Other Sources,3366736
2019,M-NCPPC,NON-TAX SUPPORTED,Enterprise Fund,Charges for Services,Fees and Charges,6337960
2019,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Miscellaneous,MPDU Revenues,1250000
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Common Ownership Community Fees,685125
2019,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Intergovernmental,Foster Care/Miscellaneous,140000
2019,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Investment Income,Investment Income,3010190
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Fines & Forfeitures,Other Fines/Forfeitures,2332150
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Trader's License,780000
2019,Montgomery County Government,TAX SUPPORTED,Fire,Miscellaneous,Miscellaneous Revenues,244882
2019,Montgomery County Government,TAX SUPPORTED,Recreation,Charges for Services,Recreation Fees,10585942
2019,Montgomery County Government,TAX SUPPORTED,Wheaton Urban District,Taxes,Property Tax,237229
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,Telephone Tax,53253090
2019,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Fines & Forfeitures,Other Fines/Forfeitures,89772
2019,Montgomery County Government,TAX SUPPORTED,Fire,Investment Income,Investment Income,710760
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,County Income Tax,1585159299
2019,Montgomery County Government,NON-TAX SUPPORTED,Cable TV,Charges for Services,Tower Application Fees,150000
2019,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Sediment Control Permits,3811233
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Health Inspection: Restaurants,2000000
2019,Montgomery College,NON-TAX SUPPORTED,Major Facilities Reserve Fund,Charges for Services,Student Fees,2700000
2019,Montgomery College,TAX SUPPORTED,Current Fund MC,Charges for Services,Other Student Fees: Current Fund,1294428
2019,Montgomery County Government,TAX SUPPORTED,Wheaton Urban District,Investment Income,Investment Income,7250
2019,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Licenses & Permits,Other Licenses/Permits,13145
2019,Montgomery County Government,NON-TAX SUPPORTED,Cable TV,Investment Income,Investment Income,106720
2019,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Fines & Forfeitures,Other Fines/Forfeitures,48345
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Fines & Forfeitures,Speed Camera Citations,18985000
2019,Montgomery County Government,TAX SUPPORTED,Economic Development Fund,Investment Income,Investment Income,61290
2019,Montgomery County Government,TAX SUPPORTED,Recreation,Miscellaneous,Miscellaneous Revenues - Parks ActiveNet,45232
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Fines & Forfeitures,Other Fines/Forfeitures,575000
2019,Montgomery County Government,TAX SUPPORTED,Mass Transit,Intergovernmental,State Aid: Call N' Ride,387911
2019,Montgomery County Government,TAX SUPPORTED,Mass Transit,Charges for Services,Other Charges/Fees,2492142
2019,Montgomery College,TAX SUPPORTED,Current Fund MC,Investment Income,Current Fund: Interest,155000
2019,M-NCPPC,NON-TAX SUPPORTED,Special Revenue Funds,Investment Income,Investment Income,28000
2019,M-NCPPC,TAX SUPPORTED,Administration Fund,Investment Income,Investment Income,100000
2019,Montgomery County Public Schools,NON-TAX SUPPORTED,Entrepreneurial Activities Fund,Charges for Services,Entrepreneurial Activities Fee,2140738
2019,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Fire Code Enforcement Permits,2415946
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Street Tree Planting,75000
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,Energy Tax,193982138
2019,M-NCPPC,NON-TAX SUPPORTED,Grant Fund MNCPPC,Intergovernmental,Administration Fund Grants,150000
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,Conference Center - Net Proceeds,1300000
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Fines & Forfeitures,Library Fines,870000
2019,Montgomery County Government,TAX SUPPORTED,Recreation,Investment Income,Investment Income,72240
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,Admissions Tax,3579210
2019,Montgomery County Government,TAX SUPPORTED,Recreation,Charges for Services,Recreation Fee Subsidy,-800000
2019,Montgomery College,NON-TAX SUPPORTED,Grant Fund MC,Intergovernmental,Federal/State/Private Grants,21922000
2019,Montgomery County Public Schools,NON-TAX SUPPORTED,Food Service Fund,Intergovernmental,Federal Food,36910793
2019,Montgomery County Government,NON-TAX SUPPORTED,Silver Spring Parking,Fines & Forfeitures,Parking Fines,1897689
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Landlord-Tennant Fees,6418250
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Health Inspections: Living Facilities,254470
